election_date,county_desc,party_cd,race_code,ethnic_code,sex_code,age_group,registered_count,voted_count,turnout_rate
2025-11-04,ONSLOW,UNA,A,UN,F,Age Over 66,26,2,0.07692307692307693
2025-11-04,CLEVELAND,LIB,W,UN,M,Age Over 66,6,1,0.16666666666666666
2025-11-04,TRANSYLVANIA,UNA,U,UN,M,Age 41 - 65,41,4,0.0975609756097561
2025-11-04,CABARRUS,DEM,U,HL,M,Age 26 - 40,55,3,0.05454545454545454
2025-11-04,TRANSYLVANIA,UNA,U,UN,F,Age 41 - 65,30,1,0.03333333333333333
2025-11-04,ASHE,REP,W,NL,M,Age Over 66,1345,26,0.019330855018587362
2025-11-04,ANSON,DEM,B,NL,M,Age 18 - 25,127,4,0.031496062992125984
2025-11-04,CLEVELAND,REP,B,UN,F,Age 26 - 40,11,1,0.09090909090909091
2025-11-04,UNION,REP,I,UN,F,Age 41 - 65,8,1,0.125
2025-11-04,UNION,REP,I,NL,M,Age Over 66,15,1,0.06666666666666667
2025-11-04,CHATHAM,DEM,B,UN,F,Age 41 - 65,271,23,0.08487084870848709
2025-11-04,SWAIN,DEM,W,NL,F,Age 41 - 65,328,7,0.021341463414634148
2025-11-04,ALAMANCE,UNA,O,HL,U,Age 41 - 65,11,2,0.18181818181818182
2025-11-04,ROWAN,REP,W,UN,F,Age 41 - 65,1347,24,0.017817371937639197
2025-11-04,CRAVEN,DEM,W,NL,F,Age 26 - 40,410,26,0.06341463414634146
2025-11-04,HAYWOOD,REP,O,NL,F,Age Over 66,8,1,0.125
2025-11-04,MOORE,DEM,O,UN,F,Age 41 - 65,13,2,0.15384615384615385
2025-11-04,JOHNSTON,UNA,U,HL,F,Age 26 - 40,130,3,0.023076923076923078
2025-11-04,NORTHAMPTON,REP,W,NL,F,Age 41 - 65,183,8,0.04371584699453552
2025-11-04,CARTERET,REP,U,UN,M,Age Over 66,36,8,0.2222222222222222
2025-11-04,ROBESON,DEM,U,HL,F,Age 41 - 65,10,1,0.1
2025-11-04,JOHNSTON,DEM,O,UN,F,Age Over 66,30,1,0.03333333333333333
2025-11-04,HERTFORD,DEM,B,UN,M,Age Over 66,189,16,0.08465608465608465
2025-11-04,DURHAM,LIB,B,NL,M,Age 18 - 25,8,1,0.125
2025-11-04,ROCKINGHAM,DEM,A,NL,M,Age 41 - 65,2,1,0.5
2025-11-04,NEW HANOVER,DEM,M,UN,F,Age 18 - 25,8,2,0.25
2025-11-04,CUMBERLAND,UNA,I,NL,F,Age Over 66,51,3,0.058823529411764705
2025-11-04,YADKIN,DEM,W,NL,F,Age 41 - 65,301,1,0.0033222591362126247
2025-11-04,BRUNSWICK,DEM,I,UN,F,Age Over 66,8,1,0.125
2025-11-04,MCDOWELL,DEM,B,UN,M,Age Over 66,14,4,0.2857142857142857
2025-11-04,LEE,DEM,W,HL,F,Age 18 - 25,21,2,0.09523809523809523
2025-11-04,ALAMANCE,LIB,W,NL,M,Age 18 - 25,22,1,0.045454545454545456
2025-11-04,LEE,DEM,O,HL,F,Age 26 - 40,124,6,0.04838709677419355
2025-11-04,NEW HANOVER,DEM,M,NL,M,Age 26 - 40,13,1,0.07692307692307693
2025-11-04,CABARRUS,DEM,O,NL,M,Age 26 - 40,53,5,0.09433962264150944
2025-11-04,BRUNSWICK,REP,M,HL,M,Age Over 66,1,1,1.0
2025-11-04,IREDELL,DEM,A,UN,M,Age 18 - 25,9,1,0.1111111111111111
2025-11-04,CABARRUS,DEM,O,UN,F,Age 41 - 65,89,6,0.06741573033707865
2025-11-04,GRANVILLE,UNA,U,UN,M,Age 41 - 65,48,2,0.041666666666666664
2025-11-04,DURHAM,UNA,U,NL,F,Age 41 - 65,46,14,0.30434782608695654
2025-11-04,CRAVEN,UNA,W,UN,U,Age 41 - 65,23,2,0.08695652173913043
2025-11-04,HARNETT,UNA,W,UN,F,Age Over 66,404,9,0.022277227722772276
2025-11-04,ORANGE,UNA,A,UN,F,Age Over 66,46,6,0.13043478260869565
2025-11-04,COLUMBUS,DEM,W,UN,M,Age 41 - 65,63,4,0.06349206349206349
2025-11-04,RANDOLPH,DEM,W,NL,U,Age 41 - 65,32,3,0.09375
2025-11-04,WILSON,DEM,W,UN,F,Age 41 - 65,178,8,0.0449438202247191
2025-11-04,BEAUFORT,REP,W,UN,M,Age 18 - 25,91,3,0.03296703296703297
2025-11-04,RANDOLPH,REP,U,NL,M,Age 26 - 40,15,1,0.06666666666666667
2025-11-04,ALAMANCE,DEM,I,UN,F,Age 26 - 40,2,1,0.5
2025-11-04,WASHINGTON,DEM,B,NL,U,Age 26 - 40,6,1,0.16666666666666666
2025-11-04,ROCKINGHAM,REP,W,NL,F,Age Over 66,3112,350,0.11246786632390746
2025-11-04,HOKE,UNA,B,UN,F,Age 41 - 65,137,2,0.014598540145985401
2025-11-04,WATAUGA,DEM,O,NL,F,Age 41 - 65,16,2,0.125
2025-11-04,CALDWELL,REP,W,HL,F,Age 41 - 65,13,1,0.07692307692307693
2025-11-04,MACON,DEM,A,NL,F,Age 26 - 40,6,2,0.3333333333333333
2025-11-04,ALAMANCE,DEM,M,UN,U,Age 26 - 40,5,1,0.2
2025-11-04,GREENE,UNA,W,UN,M,Age 18 - 25,52,2,0.038461538461538464
2025-11-04,MECKLENBURG,REP,B,HL,F,Age Over 66,4,2,0.5
2025-11-04,CABARRUS,DEM,M,NL,M,Age 41 - 65,15,3,0.2
2025-11-04,RANDOLPH,UNA,O,NL,M,Age 41 - 65,42,1,0.023809523809523808
2025-11-04,PENDER,UNA,B,NL,F,Age 41 - 65,139,2,0.014388489208633094
2025-11-04,TRANSYLVANIA,DEM,W,NL,U,Age Over 66,13,5,0.38461538461538464
2025-11-04,CABARRUS,UNA,M,NL,F,Age 41 - 65,29,9,0.3103448275862069
2025-11-04,WATAUGA,DEM,M,HL,F,Age 18 - 25,17,1,0.058823529411764705
